,sent,CODA
660,كان عظيم شكرا ليك,كان عظيم شكرا ليك
661,ح اكون هناك حوالي ستة مساء,حاكون هناك حوالي ستة مساء
662,هل عندك اي شي اطول شوية,هل عندك اي شي اطول شوية
663,تاريخ الانتهاء مارس الف تسعمية تسعة وتسعين,تاريخ الانتهاء مارس الف تسعمية تسعة وتسعين
664,كيف كان,كيف كان
665,هل في اي كازينوهات كويسة,هل في اي كازينوهات كويسة
666,دي القروش لاقلام الحبر فاتورة مئة دولار,دي القروش لاقلام الحبر فاتورة مية دولار
667,وين قسم السيدات,وين قسم السيدات
668,وين انا ممكن اركب المركب,وين انا ممكن اركب المركب
669,صاحبي اتجرح,صاحبي اتجرح
670,شكلك كويس,شكلك كويس
671,هل الدكان ده ح يكون فاتح بكرة,هل الدكان ده حيكون فاتح بكرة
672,هو اخر القاعة,هو اخر القاعة
673,هل ممكن تقص الشنب,هل ممكن تقص الشنب
674,داك بجي مع بار سلطة و اختيار ما بين بطاطس محمصة و بطاطس مقلية,داك بجي مع بار سلطة و اختيار ما بين بطاطس محمصة و بطاطس مقلية
675,وين ممكن اشتري قدر,وين ممكن اشتري قدر
676,ما بقدر ابيع دا بدون وصفة,ما بقدر ابيع ده بدون وصفة
677,ممكن احجز خمسة مقاعد سوا في نفس الصف,ممكن احجز خمسة مقاعد سوا في نفس الصف
678,ممكن تعيرني حبل السحب من فضلك,ممكن تعيرني حبل السحب من فضلك
679,ياتو عربية بتدي احسن مسافة بالأميال,ياتو عربية بتدي احسن مسافة بالأميال
680,ما حتلقى تخفيض مهما حاولت,ما حتلقى تخفيض مهما حاولت
681,ممكن تفتح الشنطة دي من فضلك عندك شنو هنا,ممكن تفتح الشنطة دي من فضلك عندك شنو هنا
682,داير اعمل مكالمة بعيدة  المسافة للهيلتون هوتل في بوسطن,داير اعمل مكالمة بعيدة  المسافة للهيلتون هوتل في بوسطن
683,هل السيدات بقبلوا داك,هل السيدات بقبلوا داك
684,احذر سقف منخفض,احذر سقف منخفض
685,ما قادر اشوف الشاشة كويس من هنا ممكن ابدل المقاعد لي فترة,ما قادر اشوف الشاشة كويس من هنا ممكن ابدل المقاعد لي فترة
686,زرت البحيرات العظمى لأول مرة,زرت البحيرات العظمى لأول مرة
687,في شي غلط في مكنة البيع دي,في شي غلط في مكنة البيع دي
688,محتاج لي دكتور,محتاج لي دكتور
689,من متين هي كانت في المملكة المتحدة,من متين هي كانت في المملكة المتحدة
690,محب للفنون الجديدة زيك احتمال يستمتع بي لوحات الهيبيش و مشهد موسيقي الشارع,محب للفنون الجديدة زيك احتمال يستمتع بي لوحات الهيبيش و مشهد موسيقى الشارع
691,ياتو زمن,ياتو زمن
692,ح اخد هوت هوق و كولا,حاخد هوت هوق و كولا
693,معاك مشغل المكالمات في الخارج,معاك مشغل المكالمات في الخارج
694,ممكن تشوف مبنى ابيض صاح هو قدام المبنى داك,ممكن تشوف مبنى ابيض صاح هو امام المبنى داك
695,من متين,من متين
696,ما عندي اي شي اوضحه,ما عندي اي شي اوضحه
697,شنو هل مفروض تدفع ضرائب لمن يكون عندك اكتر من تلاتة قارورات من الكحول,شنو هل مفروض تدفع ضرائب لمن يكون عندك اكثر من ثلاثة قارورات من الكحول
698,صحبي عيان شديد ممكن تتصل بي دكتور من فضلك,صحبي عيان شديد ممكن تتصل بي دكتور من فضلك
699,ما بعرف كتيرعن الخمرة الكويس شنو للصحن دا,ما بعرف كتيرعن الخمرة الكويس شنو للصحن ده
700,ممكن تديني مكالمة صباحية بدري من فضلك,ممكن تديني مكالمة صباحية بدري من فضلك
701,في طرمبة بنزين بعد بلكين من هنا,في طرمبة بنزين بعد بلكين من هنا
702,صحبي عيان شديد ممكن تنادي دكتور من فضلك,صحبي عيان شديد ممكن تنادي دكتور من فضلك
703,حاسي اني زي البقيت مبحلق  هل هو نادر انك تشوف زول ياباني,حاسي اني زي البقيت مبحلق  هل هو نادر انك تشوف زول ياباني
704,طبعا لا ليه انت بتقول كده,طبعا لا ليه انت بتقول كده
705,ياتو طريق هو المدخل لي مركز البريد المركزي,ياتو طريق هو المدخل لي مركز البريد المركزي
706,وين مستودع بص القريهند في المدينة دي,وين مستودع بص القريهند في المدينة دي
707,لكن مش المطاعم اليابانية في كيوتو غالية,لكن مش المطاعم اليابانية في كيوتو غالية
708,اعتقد انه عالي شوية بالنسبة لي,اعتقد انه عالي شوية بالنسبة لي
709,عندنا غرفة مزدوجة بي حمام بي خمسة وتمنين دولار,عندنا غرفة مزدوجة بي حمام بي خمسة وثمانين دولار
710,داير معدل الكتاب,داير معدل الكتاب
711,هو ابرد من العادة السنة دي لكن ما بارد كفاية للتلج,هو ابرد من العادة السنة دي لكن ما بارد كفاية للثلج
712,وين ممكن اشتري تزكرة مترو,وين ممكن اشتري تزكرة مترو
713,ح يكون عندي مقاعد درجة رجال الاعمال صاح,حيكون عندي مقاعد درجة رجال الاعمال صاح
714,كم اجرة التكسي من الفندق دا للمحطة,كم اجرة التكسي من الفندق ده للمحطة
715,ممكن آخد دا و دا من فضلك,ممكن آخد ده و ده من فضلك
716,بقولوا اليابان بلد غني شديد,بقولوا اليابان بلد غني شديد
717,هل هناك اي غرف فاضية في عربية النوم,هل هناك اي غرف فاضية في عربية النوم
718,ممكن تخفضه لي عشرين دولار من فضلك,ممكن تخفضه لي عشرين دولار من فضلك
719,دي هدية من صديق,دي هدية من صديق
720,التلج بقى الممر منزلق,التلج بقى الممر منزلق
721,ما قادر القي كاميرتي,ما قادر القى كاميرتي
722,ح اعمل جوز من سندوتشات لحم الخنزير,حاعمل جوز من سندوتشات لحم الخنزير
723,عندك اي شي للتوضيح,عندك اي شي للتوضيح
724,هل شفت جاكيت ازرق ختيته على الكرسي دا,هل شفت جاكيت ازرق ختيته على الكرسي ده
725,هناك في دكان زهور قطعة الشارع,هناك في دكان زهور قطعة الشارع
726,انا من طوكيو,انا من طوكيو
727,داير كريم شطف ريفلون,داير كريم شطف ريفلون
728,عندي شوية حاجات للغسيل,عندي شوية حاجات للغسيل
729,طلبته قبل زمن طويل,طلبته قبل زمن طويل
730,ممكن من فضلك ترسل عتال لي غرفتي ستة صباحا,ممكن من فضلك ترسل عتال لي غرفتي ستة صباحا
731,ح اخد شوكولاتة سخنة,حاخد شوكولاتة سخنة
732,ممكن نرتب عشان غرفتك تكون نضيفة,ممكن نرتب عشان غرفتك تكون نظيفة
733,خاص من فضلك,خاص من فضلك
734,كم التكلفة الى الفندق سي,كم التكلفة لي الفندق سي
735,ممكن تزكرة متعددة,ممكن تزكرة متعددة
736,داير احجز طربيزة لاتنين الساعة سبعة من فضلك,داير احجز طربيزة لاثنين الساعة سبعة من فضلك
737,داير شوية كريم الليل,داير شوية كريم الليل
738,ممكن تلف دي زي هدية,ممكن تلف دي زي هدية
739,هي تلاتة و ربع,هي ثلاثة و ربع
740,ح اخطط ارسل الفواتير لاحتياجاتي اليومية عشان كده وريني العنوان و الاسم بتاع الزول المسؤول,حاخطط ارسل الفواتير لاحتياجاتي اليومية عشان كده وريني العنوان و الاسم بتاع الزول المسؤول
741,صعب بالنسبة لينا انو نتكلم انجليزي بي طلاقة,صعب بالنسبة لينا انو نتكلم انجليزي بي طلاقة
742,هل عندك ديل في نفس التصميم مع كعوب اعلى,هل عندك ديل في نفس التصميم مع كعوب اعلى
743,داير جاكيت لي طفل عمره عشرة سنوات,داير جاكيت لي طفل عمره عشرة سنوات
744,وديني لي طريق آبي من فضلك,وديني لي طريق آبي من فضلك
745,شكرا ليك هلوو شكرا للانتظار,شكرا ليك هلوو شكرا للانتظار
746,انا متأكد اني عندي حجز,انا متأكد اني عندي حجز
747,ح ارسله ليك عشان كدا انتظر هنا من فضلك,حارسله ليك عشان كده انتظر هنا من فضلك
748,نحن هنا لي يوم,نحن هنا لي يوم
749,عندي صداع خفيف,عندي صداع خفيف
750,استمتعت شديد بالوجبة,استمتعت شديد بالوجبة
751,لا من فضلك اخد مقعد وانتظر  ح اجي راجع حالا,لا من فضلك اخد مقعد وانتظر  حأجي راجع حالا
752,ممكن اشوف العربية,ممكن اشوف العربية
753,ممكن ترسم لي خريطة من فضلك,ممكن ترسم لي خريطة من فضلك
754,اوكي سيدي من فضلك خليك فى غرفتك لغاية الدكتور يجي,اوكي سيدي من فضلك خليك فى غرفتك لغاية الدكتور يجي
755,انا اتسرقت في وايماتالو بيتش من فضلك تعال الآن,انا اتسرقت في وايماتالو بيتش من فضلك تعال الآن
756,رايك شنو في مية دولار,رايك شنو في مية دولار
757,داير دا معبى,داير ده معبى
758,داير اقدم لإعادة توزيع,داير اقدم لإعادة توزيع
759,الحكومة دعمت ترقية الصناعات,الحكومة دعمت ترقية الصناعات
760,عمره تعدى الخمسين سنة افترض,عمره تعدى الخمسين سنة افترض
761,اقل عمر شنو عشان يعمل ده,اقل عمر شنو عشان يعمل ده
762,عندك اي خرائط بسيطة للمدينة,عندك اي خرائط بسيطة للمدينة
763,اذا ممكن افضل انو ما تقلع السن,اذا ممكن افضل انو ما تقلع السن
764,الحساب هو كورة واحدة و ضربتين,الحساب هو كورة واحدة و ضربتين
765,ياتو زمن بصل فيه القطر لي سان دييغو من فضلك,ياتو زمن بصل فيه القطر لي سان دييغو من فضلك
766,داير آخد نظرة لي صندوقك,داير آخد نظرة لي صندوقك
767,داير شوية شامبو,داير شوية شامبو
768,انا مقيم في فندق الهيلتون,انا مقيم في فندق الهيلتون
769,انا ما حاسي كويس,انا ما حاسي كويس
770,لكن انا عندي موعد عشان اشوفها الساعة اتنين,لكن انا عندي موعد عشان اشوفها الساعة اثنين
771,هل العربية دي بتمشي لي ادينبيره,هل العربية دي بتمشي الى ادينبيره
772,نعم من فضلك املأ الفورمة دي,نعم من فضلك املأ الفورمة دي
773,كم السعر الانت بتاجر بيه للوزن الزائد,كم السعر الانت بتاجر بيه للوزن الزايد
774,اسمي هو كيمودا داير الغى حجزي للجمعة,اسمي هو كيمودا داير الغي حجزي للجمعة
775,اوه انا اسف كان هناك مشاكل و نحن بنعالجها ممكن تنتظرحوالي تلاتين دقيقة,اوه انا اسف كان هناك مشاكل و نحن بنعالجها ممكن تنتظرحوالي ثلاثين دقيقة
776,زمن المغادرة متين, زمن المغادرة متين
777,حصلت عليه,حصلت عليه
778,ح اتصل بي زول,حاتصل بي زول
779,هل انت داير تسوي الفاتورة الآن,هل انت داير تسوي الفاتورة الآن
780,العربية جات من الجنبة في التقاطع,العربية جات من الجنبة في التقاطع
781,ده صندوق موسيقى,ده صندوق موسيقى
782,وين الضاحية,وين الضاحية
783,هل هناك جولة بص في المدينة,هل هناك جولة بص في المدينة
784,بنبدا في ياتو زمن,بنبدا في ياتو زمن
785,كله تمام سيدي في المقاس الوسط ممكن نوفر ليك سمور زئبقي هل كده كله تمام,كله تمام سيدي في المقاس الوسط ممكن نوفر ليك سمور زئبقي هل كده كله تمام
786,انت عندك كدمة عضلة,انت عندك كدمة عضلة
787,لكن لازم توعدني انك الحتضرب الكورة ما انا  اوكي,لكن لازم توعدني انك الحتضرب الكورة ما انا  اوكي
788,و كم تاني,و كم ثاني
789,ممكن استلف شوية كتان,ممكن استلف شوية كتان
790,نوع الجلد المصنوعة منه الشنطة دي شنو,نوع الجلد المصنوعة منه الشنطة دي شنو
791,ما اعتقد ان السكين دي نضيفة ممكن تجيب لي واحدة تانية,ما اعتقد ان السكين دي نظيفة ممكن تجيب لي واحدة ثانية
792,اشتريت دا قبل لحظة لكن ممكن تبدل دا بي داك,اشتريت ده قبل لحظة لكن ممكن تبدل ده بي داك
793,بصراحة انا ما موافق على داك,بي صراحة انا ما موافق على داك
794,هل دا الشارع الصحيح لي سنترال استيشن,هل ده الشارع الصحيح لي سنترال استيشن
795,قارب مع دليل من فضلك,قارب مع دليل من فضلك
796,داير اطلب لي بدلة غامضة اللون,داير اطلب لي بدلة غامضة اللون
797,الشمسية دي تنفع عصاية,الشمسية دي تنفع عصاية
798,هل مفروض اخلي عفشي كله في غرفة الامانات,هل مفروض اخلي عفشي كله في غرفة الامانات
799,من فضلك وريني جوازك,من فضلك وريني جوازك
800,هل هناك اي مكان بقبل الغسيل في ايام الأحد,هل هناك اي مكان بقبل الغسيل في ايام الأحد
801,اتنين بيرقر جبنة من فضلك,اثنين بيرقر جبنة من فضلك
802,ياتو بص بمشي لميامي,ياتو بص بمشي لي ميامي
803,لكن البقشيش ما ضروري,لكن البقشيش ما ضروري
804,ممكن تشوف واحد في قاعة كارنيغي,ممكن تشوف واحد في قاعة كارنيغي
805,انا ما معتمد,انا ما معتمد
806,ما هي خصوصيات البيت,ما هي خصوصيات البيت
807,داير اعمل موعد مع دكتور,داير اعمل موعد مع دكتور
808,انا بسال اذا في طربيزة فاضية متاحة جنب الشباك لي سبعة الليلة,انا بسال اذا في طربيزة فاضية متاحة جنب الشباك لي سبعة الليلة
809,ما بتمانع اني اجي مكانك,ما بتمانع اني اجي مكانك
810,شكله انو في مجال للتحسين,شكله انو في مجال للتحسين
811,وين التحت الواطة,وين التحت الواطة
812,عندك مقاس اصغر, عندك مقاس اصغر
813,وين ممكن القى اسبرين,وين ممكن القى اسبرين
814,داك زر الروك,داك زر الروك
815,من فضلك اديني مرور اسبوع واحد,من فضلك اديني مرور اسبوع واحد
816,دي كليتي,دي كليتي
817,نوع البنزين هناك شنو ممتاز عادي ونقي,نوع البنزين هناك شنو ممتاز عادي ونقي
818,دا واحد,ده واحد
819,حيصيبني برد,حيصيبني برد
820,هو بقفل في ايام الاتنين لكن يوم مختلف بكون اوكي اعتقد ان بفتح من تسعة لخمسة,هو بقفل في ايام الاثنين لكن يوم مختلف بكون اوكي اعتقد انو بفتح من تسعة لي خمسة
821,هو انجليس مشوي مع صلصة خاصة فوق صحن رز,هو انجليس مشوي مع صلصة خاصة فوق صحن رز
822,"هو قال ""خلينا نحتفل"" و اخدني للبار هو قال ان ماشى يعمل مكالمة هاتفية و غادر و نهائي ما جا راجع و انا علقت مع فاتورة كبيرة","هو قال ""خلينا نحتفل"" و اخدني للبار هو قال انو ماشي يعمل مكالمة هاتفية و غادر و نهائي ما جا راجع و انا علقت مع فاتورة كبيرة"
823,كم سعره للجالون,كم سعره للجالون
824,عندي جوازي و الكردت كارد في شنطتي,عندي جوازي و الكردت كارد في شنطتي
825,حجز الساعة سبعة  تحت اسم مانو,حجز الساعة سبعة  تحت اسم مانو
826,ما ح تاخد كباية شاي,ما حتاخد كباية شاي
827,ممكن توريني وين القى القنصلية اليابانية,ممكن توريني وين القى القنصلية اليابانية
828,هل هناك طبيب الفندق او واحد في الاتصال,هل هناك طبيب الفندق او واحد في الاتصال
829,هو دائما بتسوق في شارع بوند,هو دايما بتسوق في شارع بوند
830,ورقة انجليزي من فضلك,ورقة انجليزي من فضلك
831,هل هناك اي محل بشغل موسيقى ريفية,هل هناك اي محل بشغل موسيقى ريفية
832,داير اراجع حاجاتي القيمة,داير اراجع حاجاتي القيمة
833,اي واحدات صوفية تانية,اي واحدات صوفية ثانية
834,كم السعر بي الشيت,كم السعر بي الشيت
835,طيب اضغط تسعة و صفر واحد واحد بعده مفتاح الدولة و رقم الهاتف,طيب اضغط تسعة و صفر واحد واحد بعده مفتاح الدولة و رقم الهاتف
836,ممكن احصل على دايت كوكا,ممكن احصل على دايت كوكا
837,ممكن اطلب,ممكن اطلب
838,عندنا قيادة جميلة شكرا ليك,عندنا قيادة جميلة شكرا ليك
839,اعذرني ممكن تسمح لي اعبر,اعذرني ممكن تسمح لي اعبر
840,التعداد الكلي لسكان اليابان حوالي مئة و تلاتين مليون,التعداد الكلي لي سكان اليابان حوالي مية و ثلاثين مليون
841,داير اأجر شمسية,داير اأجر شمسية
842,نعم و انا داير اراجع الرسوم,نعم و انا داير اراجع الرسوم
843,محفظة بمية دولار و اتنين كردت كارد,محفظة بمية دولار و اثنين كردت كارد
844,موية ساخنة شديد,موية ساخنة شديد
845,انت هنا,انت هنا
846,قدر قهوة من فضلك,قدر قهوة من فضلك
847,غير مرجح بشكل عالي,غير مرجح بشكل عالي
848,بطني بتوجع بعد الوجبات,بطني بتوجع بعد الوجبات
849,وااااو داك مكان جميل,وااااو داك مكان جميل
850,هو احتمال يكون عنده جلطة,هو احتمال يكون عنده جلطة
851,انت قررت,انت قررت
852,لو داير ح نحجز هنا,لو داير حنحجز هنا
853,انا ضيعت اثر بريد مسجل,انا ضيعت اثر بريد مسجل
854,ما بتقدر تغير شغلك بسهولة,ما بتقدر تغير شغلك بسهولة
855,المحطة الجاية شنو,المحطة الجاية شنو
856,كله تمام لكن ما المدرجات  هي حارة شديد الليلة,كله تمام لكن ما المدرجات  هي حارة شديد الليلة
857,اطلع من هنا و اتحول لبص رقم ستة,اطلع من هنا و اتحول لي بص رقم ستة
858,مفروض احصل رحلة عشرة صباحا,مفروض احصل رحلة عشرة صباحا
859,انا لسة حاسي بنفسي بستفرغ,انا لسا حاسي بنفسي بستفرغ
860,ما داير اي شي كبير,ما داير اي شي كبير
861,راجع من فضلك,راجع من فضلك
862,كم سعر فطر طازج,كم سعر فطر طازج
863,اشحن من فضلك بتاخد فيزا,اشحن من فضلك بتاخد فيزا
864,اليوم ح امشي اشوف شايناتاون عاملة كيف,اليوم حامشي اشوف شايناتاون عاملة كيف
865,اتنين صفر اتنين تسعة تلاتة تسعة ستة سبعة صفر صفر,اثنين صفر اثنين تسعة ثلاثة تسعة ستة سبعة صفر صفر
866,داير سني تتقلع,داير سني تتقلع
867,داير شنطة كريمات,داير شنطة كريمات
868,انا بسال كم من البقشيش مفروض اخلي,انا بسال كم من البقشيش مفروض اخلي
869,"وين ممكن اشوف""الخيال بتاع اوبرا""","وين ممكن اشوف""الخيال بتاع اوبرا"""
870,داير اشتري تذكارات لاصحابي,داير اشتري تذكارات لي اصحابي
871,ببطء اكتر من فضلك,بي بطء اكثر من فضلك
872,ما متوسط رسوم الفاكس العالمي شهريا,ما متوسط رسوم الفاكس العالمي شهريا
873,مقلي بالجنبتين من فضلك,مقلي بالجنبتين من فضلك
874,اوكي دا شكله واضح جدا  انتو الاتنين من فضلكم ادوني رخصكم و تسجيلاتكم  و يا ولد آسف لازم نعمل ليك اختبار تحليل تنفس,اوكي دا شكله واضح جدا  انتم الاتنين من فضلكم ادوني رخصكم و تسجيلاتكم  و يا ولد آسف لازم نعمل ليك اختبار تحليل تنفس
875,ح يكون جاهز بعد بكرة في المساء,حيكون جاهز بعد بكرة في المساء
876,هل دا معمول من القطن,هل ده معمول من القطن
877,عندي دواي الخاص,عندي دواي الخاص
878,ممكن اشوف شنو في الرحلة دي,ممكن اشوف شنو في الرحلة دي
879,نعم هناك في مشروب واحد على الأقل,نعم هناك في مشروب واحد على الأقل
880,كم سعره في اليوم,كم سعره في اليوم
881,هل البص بقيف جنب الفندق,هل البص بقيف جنب الفندق
882,داير سي دي,داير سي دي
883,في رحلات الخطوط الجوية اليابانية وأول نيبون البغادروا عشرة و خمسة وخمسين لكن لسوء الحظ الرحلتين ملانات,في رحلات الخطوط الجوية اليابانية وأول نيبون البغادروا عشرة و خمسة وخمسين لكن لسوء الحظ الرحلتين ملانات
884,هو بناسبني تمام,هو بناسبني تمام
885,ممكن طربيزة لي خمسة,ممكن طربيزة لي خمسة
886,هي ما بتفهم انجليزي نهائي,هي ما بتفهم انجليزي نهائي
887,من فضلك اصرف شيك السفر,من فضلك اصرف شيك مسافر
888,ممكن تهتم بيها من تسعة صباحا لي ثلاثة كده,ممكن تهتم بيها من تسعة صباحا لي ثلاثة كده
889,كم سعر البريد الجوي لليابان,كم سعر البريد الجوي لليابان
890,انا اتقفلت ممكن تفتح بابي من فضلك,انا اتقفلت ممكن تفتح بابي من فضلك
891,ياتو جولة احسن عشن تشوف احسن الأماكن المعروفة,ياتو جولة احسن عشن تشوف احسن الأماكن المعروفة
892,هل في اي مضيفه بتتكلم ياباني,هل في اي مضيفة بتتكلم ياباني
893,كم شنطة ممكن اجيبها في الطيارة,كم شنطة ممكن اجيبها في الطيارة
894,لا يا سيدي بعد الظهر محجوز كله  لكن بكرة اوكي,لا يا سيدي بعد الظهر محجوز كله  لكن بكرة اوكي
895,انا حاسأل البواب عن الأجرة الصاح,انا حاسأل البواب عن الأجرة الصاح
896,انا حقيقة آسف,انا حقيقة آسف
897,عندنا حفلة ليلة الجمعة لي ماتنضم لينا,عندنا حفلة ليلة الجمعة لي ماتنضم لينا
898,طيب غرفتك تسعة صفر تمنية يا انسة دا مفتاحك,طيب غرفتك تسعة صفر ثمانية يا انسة ده مفتاحك
899,انه مهم جدا ان عندنا وصول للمواد الخام البنحتاج ليها للمشروع,انه مهم جدا ان عندنا وصول للمواد الخام البنحتاج ليها للمشروع
900,اعذرني ضابط,اعذرني ضابط
901,هل القطر ده بمشي مباشرة لي ادينبره,هل القطر ده بمشي مباشرة لي ادينبره
902,هل دا ف الحد بتاع اعفاء الضرائب,هل ده في الحد بتاع اعفاء الضرائب
903,شيل حاجاتي القيمة من فضلك,شيل حاجاتي القيمة من فضلك
904,كيف الرحلات السياحية مزحومة,كيف الرحلات السياحية مزحومة
905,داير اشتري شوية تذكارات هل هناك اي متجر مناسب قريب هنا,داير اشتري شوية تذكارات هل هناك اي متجر مناسب قريب هنا
906,لغاية متين بفتح,لغاية متين بفتح
907,هو طالع اسى,هو طالع اسي
908,مايومي ممكن تملى الورقة دي بتوقيعك,مايومي ممكن تملي الورقة دي بتوقيعك
909,هنا واحد ليك سيدي,هنا واحد ليك سيدي
910,ما عندي عفش للتسجيل,ما عندي عفش للتسجيل
911,اكيد اخد زمنك,اكيد اخد زمنك
912,انا هنا في مهمة وسائط الإعلام,انا هنا في مهمة وسائط الإعلام
913,هل عندك افلام صيف,هل عندك افلام صيف
914,متين القطر التاني لي واشنطن دي سي,متين القطر الثاني لي واشنطن دي سي
915,الواحدات الأطول هم الموضة اسي,الواحدات الأطول هم الموضة اسي
916,ح اكون راجع لليابان الاتنين الجاي,حاكون راجع لليابان الاتنين الجاي
917,ممكن خريطة النفق,ممكن خريطة النفق
918,هل هي رحلة طويلة,هل هي رحلة طويلة
919,هل ممكن تبدل ده لواحد جديد,هل ممكن تبدل ده لواحد جديد
920,نفرين,نفرين
921,وين ممكن اشيل عفشي,وين ممكن اشيل عفشي
922,انا ما حاسي كويس  ممكن اتكي على المقعد,انا ما حاسي كويس  ممكن اتكي على المقعد
923,حداشر و خمسة وأربعين صباحا,حدعشر و خمسة وأربعين صباحا
924,ممكن توريني كافيتريا شعبية بين الناس الشباب,ممكن توريني كافيتريا شعبية بين الناس الشباب
925,عربيته كانت جارية بالسرعة الكاملة,عربيته كانت جارية بالسرعة الكاملة
926,ممكن اخلي رسالة انا متصل عشان اأكد موعدي مع مستر ابرت الأربعاء الجاي الساعة حداشر صباحا,ممكن اخلي رسالة انا متصل عشان اأكد موعدي مع مستر ابرت الأربعاء الجاي الساعة حدعشر صباحا
927,هل ممكن بطريقة ما توضح مرضك بالانجليزي,هل ممكن بطريقة ما توضح مرضك بالانجليزي
928,هل ممكن ترسل تكسي لي المدخل الرئيسي بتاع وستمنستر مول,هل ممكن ترسل تكسي لي المدخل الرئيسي بتاع وستمنستر مول
929,كم مرة ابدل قطرات عشان اصل هنا,كم مرة ابدل قطرات عشان اصل هنا
930,هل داك صحيح خليني اراجع اوه انا آسف جدا انسة تاكانو دي غلطتنا هي فاتورتك الجديدة توقعي هنا من فضلك,هل داك صحيح خليني اراجع اوه انا آسف جدا انسة تاكانو دي غلطتنا هي فاتورتك الجديدة توقعي هنا من فضلك
931,رجع خمسة دولارات من فضلك,رجع خمسة دولارات من فضلك
932,سداد البانيو ما بتقفل بشكل كامل,سداد البانيو ما بتقفل بشكل كامل
933,ده بس رمز لتقديري,ده بس رمز لي تقديري
934,هل ح تملى الفورمة دي,هل حتملى الفورمة دي
935,رايك شنو في الموديلات البلاستيكية دي,رايك شنو في الموديلات البلاستيكية دي
936,ياتو اصناف عندك,ياتو اصناف عندك
937,الكعوب عالية جدا لي,الكعوب عالية جدا لي
938,اتقفلت برة غرفتي,اتقفلت برة غرفتي
939,من متين كنت في باريس,من متين كنت في باريس
940,ممكن طابعات بريد لتلاتة بطاقات بريدية لبريد جوي,ممكن طابعات بريد لي ثلاثة بطاقات بريدية لي بريد جوي
941,بيتهجى ج-و-ر-و-ه,بيتهجى ج-و-ر-و-ه
942,داير تشرب حاجة,داير تشرب حاجة
943,ارقد هنا,ارقد هنا
944,اعملها برقية مستعجلة من فضلك,اعملها برقية مستعجلة من فضلك
945,حسب تقرير الطقس ح تثلج بكرة,حسب تقرير الطقس حتثلج بكرة
946,داير كورة,داير كورة
947,بالتأكيد حنكون سعيدين نعمل كده,بالتأكيد حنكون سعيدين نعمل كده
948,هي كتاب هزلي ماليزي ح اشتري واحد عشان اشيله البيت كقطعة محادثة,هي كتاب هزلي ماليزي حاشتري واحد عشان اشيله البيت كقطعة محادثة
949,"الطريق للنجاح هو ""جنمياكو"" صاح","الطريق للنجاح هو ""جنمياكو"" صاح"
950,ح اصل لفندقك تسعة مساء,ح اصل لي فندقك تسعة مساء
951,عندي حوالي الفين و خمسمية دولار بالين الياباني,عندي حوالي الفين و خمسمية دولار بالين الياباني
952,نعم حصل ح اوريك شوية,نعم حصل حاوريك شوية
953,داير شوية حبوب نوم,داير شوية حبوب نوم
954,ح اكون هنا لحدي يوم تسعة بتمنى تقبض المجرمين باسرع سرعة,حاكون هنا لحدي يوم تسعة بتمنى تقبض المجرمين باسرع سرعة
955,انا متأكد المجرم قريب,انا متأكد المجرم قريب
956,عشرة طابعات من فضلك,عشرة طابعات من فضلك
957,جاتني قرحة حلق,جاتني قرحة حلق
958,انا محتاج لي شوية تذكارات من نيو يورك,انا محتاج لي شوية تذكارات من نيو يورك
959,انا ماشي ممكن ترسل حمال,انا ماشي ممكن ترسل حمال
960,ساعتي وقفت,ساعتي وقفت
961,اوه دا هو كيف بتحبه,اوه ده هو كيف بتحبه
962,نحن فاتحين الساعة تسعة صباحا,نحن فاتحين الساعة تسعة صباحا
963,داير كتاب تلوين,داير كتاب تلوين
964,اظن اني حاسي بدوار الجو,اظن اني حاسي بدوار الجو
965,هل لازم امشي لبنك ياباني,هل لازم امشي لي بنك ياباني
966,مفروض تحول القروش في البنك,مفروض تحول القروش في البنك
967,هل في زمن كافي عشان نمرق,هل في زمن كافي عشان نمرق
968,زوجك واحد من احسن عملائنا,زوجك واحد من احسن عملائنا
969,هل بتعرف دكتور اسنان كويس,هل بتعرف دكتور اسنان كويس
970,اوه انت مفروض تنبه القنصلية الآن,اوه انت مفروض تنبه القنصلية الآن
971,مهزوز ما محرك,مهزوز ما محرك
972,داير طربيزة في الكافتيريا الرئيسية ول غرفة خاصة سيدي,داير طربيزة في الكافتيريا الرئيسية ولا غرفة خاصة سيدي
973,عدد كبير من الناس بيمشوا للشاطئ خلال الموسم,عدد كبير من الناس بيمشوا للشاطئ خلال الموسم
974,انا بوزن حوالي مئة و خمسين رطل,انا بوزن حوالي مئة و خمسين رطل
975,وين مفروض احول,وين مفروض احول
976,وين مكتب الممتلكات الضايعة,وين مكتب الممتلكات الضايعة
977,هل في اي بص بمشي هناك مباشرة,هل في اي بص بمشي هناك مباشرة
978,هل انا محتاج لأي معاملة خاصة,هل انا محتاج لأي معاملة خاصة
979,داك ح يكون كاش ول شحن,داك حيكون كاش ولا شحن
980,نحن رحلنا للبيت دا قبل سنة,نحن رحلنا للبيت ده قبل سنة
981,فيزتي حتاخد كم زمن,فيزتي حتاخد كم زمن
982,وين الحمامات,وين الحمامات
983,القيمة الكلية المستحقة متين و تلاتة وأربعين جنيه يا مدام,القيمة الكلية المستحقة متين و ثلاثة وأربعين جنيه يا مدام
984,دي هدية ممكن تلفها بي ورق لف جميل,دي هدية ممكن تلفها بي ورق لف جميل
